Periodo,Área geográfica,Indicador,DATA
1993 Ene,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",51
1993 Feb,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",49.8
1993 Mar,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",54.5
1993 Abr,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",53.3
1993 May,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",54.3
1993 Jun,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",54.2
1993 Jul,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",53.2
1993 Ago,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",52.8
1993 Sep,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",53.8
1993 Oct,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",53.5
1993 Nov,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",53.9
1993 Dic,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",60.1
1994 Ene,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",53
1994 Feb,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",51.3
1994 Mar,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",55.3
1994 Abr,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",56.4
1994 May,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",56.9
1994 Jun,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",57.3
1994 Jul,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",56
1994 Ago,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",57.4
1994 Sep,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",57.4
1994 Oct,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",57.1
1994 Nov,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",58.3
1994 Dic,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",60.9
1995 Ene,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",53.3
1995 Feb,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",50.4
1995 Mar,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",54.1
1995 Abr,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",51.8
1995 May,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",53.3
1995 Jun,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",53.2
1995 Jul,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",51.7
1995 Ago,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",53
1995 Sep,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",52.7
1995 Oct,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",52.7
1995 Nov,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",53.3
1995 Dic,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",56.8
1996 Ene,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",53
1996 Feb,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",50.8
1996 Mar,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",54.6
1996 Abr,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",53.7
1996 May,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",55.3
1996 Jun,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",54
1996 Jul,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",54.9
1996 Ago,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",55
1996 Sep,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",54.8
1996 Oct,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",57
1996 Nov,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",56.6
1996 Dic,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",59.6
1997 Ene,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",55.6
1997 Feb,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",54.1
1997 Mar,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",55.8
1997 Abr,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",59.8
1997 May,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",59.6
1997 Jun,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",59.1
1997 Jul,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",59.3
1997 Ago,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",59.2
1997 Sep,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",60.1
1997 Oct,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",61.9
1997 Nov,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",60.8
1997 Dic,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",64.6
1998 Ene,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",60.2
1998 Feb,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",58.6
1998 Mar,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",64
1998 Abr,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",62.3
1998 May,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",64.1
1998 Jun,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",63.6
1998 Jul,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",63.4
1998 Ago,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",62.8
1998 Sep,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",63.5
1998 Oct,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",64.8
1998 Nov,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",63.4
1998 Dic,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",67.5
1999 Ene,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",61.6
1999 Feb,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",60
1999 Mar,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",65.4
1999 Abr,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",64.5
1999 May,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",65.9
1999 Jun,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",65.8
1999 Jul,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",66.4
1999 Ago,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",66.3
1999 Sep,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",67.2
1999 Oct,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",67.6
1999 Nov,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",68
1999 Dic,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",72
2000 Ene,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",67.1
2000 Feb,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",66.5
2000 Mar,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",71.3
2000 Abr,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",68.7
2000 May,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",73
2000 Jun,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",71.9
2000 Jul,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",71.9
2000 Ago,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",72.7
2000 Sep,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",72.7
