Periodo,Indicador,Área geográfica,DATA
1993 Ene,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,55.43
1993 Feb,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,56.46
1993 Mar,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,58.9
1993 Abr,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,57.14
1993 May,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,57.89
1993 Jun,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,57.48
1993 Jul,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,57.9
1993 Ago,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,57.12
1993 Sep,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,58.48
1993 Oct,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,57.58
1993 Nov,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,57.76
1993 Dic,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,60.32
1994 Ene,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,57.73
1994 Feb,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,57.41
1994 Mar,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,59.74
1994 Abr,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,60.61
1994 May,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,60.69
1994 Jun,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,60.47
1994 Jul,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,58.96
1994 Ago,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,60.07
1994 Sep,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,61.57
1994 Oct,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,60.76
1994 Nov,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,61.71
1994 Dic,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,62.34
1995 Ene,"Indicadores económicos de coyuntura > Indicador global de la actividad económica, base 2018 > Series originales > Índice de volumen físico > Total (Índice base 2018=100) Mensual",0 Estados Unidos Mexicanos,60.28
