Periodo,Área geográfica,Indicador,DATA
1993 Ene,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",53.2
1993 Feb,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",56.3
1993 Mar,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",58.2
1993 Abr,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",53.7
1993 May,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",52.5
1993 Jun,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",50.3
1993 Jul,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",54.3
1993 Ago,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",58.5
1993 Sep,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",58.2
1993 Oct,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",59.5
1993 Nov,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",63.8
1993 Dic,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",69.8
1994 Ene,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",61.2
1994 Feb,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",64.4
1994 Mar,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",66.7
1994 Abr,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",65.2
1994 May,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",61.3
1994 Jun,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",60.8
1994 Jul,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",63.4
1994 Ago,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",69
1994 Sep,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",66.2
1994 Oct,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",66.9
1994 Nov,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",68
1994 Dic,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",66.5
1995 Ene,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",51
1995 Feb,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",42.3
1995 Mar,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",43.3
1995 Abr,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",38.3
1995 May,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",36.3
1995 Jun,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",36.9
1995 Jul,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",38.8
1995 Ago,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",42.4
1995 Sep,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",43.1
1995 Oct,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",43.3
1995 Nov,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",46.4
1995 Dic,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",52
1996 Ene,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",47.7
1996 Feb,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",46.1
1996 Mar,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",46.1
1996 Abr,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",44.9
1996 May,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",46.6
1996 Jun,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",45.9
1996 Jul,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",51.4
1996 Ago,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",54.3
1996 Sep,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",52.9
1996 Oct,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",55.7
1996 Nov,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",55.8
1996 Dic,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",61.9
1997 Ene,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",54
1997 Feb,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",53.8
1997 Mar,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",51.2
1997 Abr,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",55.8
1997 May,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",55.2
1997 Jun,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",53.8
1997 Jul,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",59
1997 Ago,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",63.4
1997 Sep,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",62.3
1997 Oct,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",62.2
1997 Nov,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",64.2
1997 Dic,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",67.8
1998 Ene,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",60.5
1998 Feb,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",64.8
1998 Mar,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",65.9
1998 Abr,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",59.7
1998 May,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",62.8
1998 Jun,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",59.5
1998 Jul,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",65
1998 Ago,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",67.8
1998 Sep,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",68.8
1998 Oct,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",66.7
1998 Nov,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",65.8
1998 Dic,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",71.5
1999 Ene,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",65.4
1999 Feb,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",67.1
1999 Mar,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",69.2
1999 Abr,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",62.7
1999 May,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",63.5
1999 Jun,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",63.1
1999 Jul,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Formación bruta de capital fijo, base 2018 > Series Originales > Índice de volumen físico > Por tipo de bien y origen > Total (Índice base 2018=100) Mensual",66.2
