ds,unique_id,y
1993-01-19,igae,55.43
1993-02-19,igae,56.46
1993-03-19,igae,58.9
1993-04-19,igae,57.14
1993-05-19,igae,57.89
1993-06-19,igae,57.48
1993-07-19,igae,57.9
1993-08-19,igae,57.12
1993-09-19,igae,58.48
1993-10-19,igae,57.58
1993-11-19,igae,57.76
1993-12-19,igae,60.32
1994-01-19,igae,57.73
1994-02-19,igae,57.41
1994-03-19,igae,59.74
1994-04-19,igae,60.61
1994-05-19,igae,60.69
1994-06-19,igae,60.47
1994-07-19,igae,58.96
1994-08-19,igae,60.07
1994-09-19,igae,61.57
1994-10-19,igae,60.76
1994-11-19,igae,61.71
1994-12-19,igae,62.34
1995-01-19,igae,60.28
1995-02-19,igae,55.69
1995-03-19,igae,57.82
1995-04-19,igae,53.94
1995-05-19,igae,55.5
1995-06-19,igae,55.58
1995-07-19,igae,54.66
1995-08-19,igae,55.83
1995-09-19,igae,56.93
1995-10-19,igae,55.49
1995-11-19,igae,57.58
1995-12-19,igae,60.1
1996-01-19,igae,59.12
1996-02-19,igae,58.0
1996-03-19,igae,59.42
1996-04-19,igae,58.28
1996-05-19,igae,60.55
1996-06-19,igae,59.59
1996-07-19,igae,60.15
1996-08-19,igae,59.57
1996-09-19,igae,60.49
1996-10-19,igae,61.88
1996-11-19,igae,62.32
1996-12-19,igae,63.35
1997-01-19,igae,61.99
1997-02-19,igae,60.62
1997-03-19,igae,61.06
1997-04-19,igae,64.52
1997-05-19,igae,64.67
1997-06-19,igae,64.25
1997-07-19,igae,64.76
1997-08-19,igae,63.99
1997-09-19,igae,66.17
1997-10-19,igae,67.1
1997-11-19,igae,66.53
1997-12-19,igae,68.13
1998-01-19,igae,66.71
1998-02-19,igae,66.24
1998-03-19,igae,69.45
1998-04-19,igae,67.72
1998-05-19,igae,68.82
1998-06-19,igae,68.48
1998-07-19,igae,69.0
1998-08-19,igae,67.75
1998-09-19,igae,69.8
1998-10-19,igae,68.82
1998-11-19,igae,68.31
1998-12-19,igae,70.05
1999-01-19,igae,68.31
1999-02-19,igae,67.57
1999-03-19,igae,71.24
1999-04-19,igae,69.06
1999-05-19,igae,70.35
1999-06-19,igae,70.28
1999-07-19,igae,70.44
1999-08-19,igae,69.8
1999-09-19,igae,72.36
1999-10-19,igae,70.44
1999-11-19,igae,71.27
1999-12-19,igae,72.42
2000-01-19,igae,71.99
2000-02-19,igae,72.25
2000-03-19,igae,74.65
2000-04-19,igae,71.37
2000-05-19,igae,75.42
2000-06-19,igae,74.95
2000-07-19,igae,74.03
2000-08-19,igae,74.84
2000-09-19,igae,75.72
2000-10-19,igae,74.41
2000-11-19,igae,74.32
2000-12-19,igae,73.08
2001-01-19,igae,73.6
2001-02-19,igae,71.05
2001-03-19,igae,74.4
2001-04-19,igae,71.92
2001-05-19,igae,74.86
2001-06-19,igae,73.79
2001-07-19,igae,72.89
2001-08-19,igae,74.04
2001-09-19,igae,73.82
2001-10-19,igae,73.41
2001-11-19,igae,73.05
